class,order,family,genus,species,phylum
Anthozoa,Scleractinia,Agariciidae,Helioseris,cucullata,Cnidaria
Anthozoa,Scleractinia,Merulinidae,Hydnophora,exesa,Cnidaria
Anthozoa,Scleractinia,Acroporidae,Acropora,digitifera,Cnidaria
Anthozoa,Scleractinia,Faviidae,Pseudodiploria,strigosa,Cnidaria
Anthozoa,Scleractinia,Meandrinidae,Dichocoenia,stokesii,Cnidaria
Anthozoa,Scleractinia,Acroporidae,Acropora,echinata,Cnidaria
Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,Cnidaria
Holothuroidea,Synallactida,Stichopodidae,Thelenota,ananas,Echinodermata
Holothuroidea,Synallactida,Stichopodidae,Stichopus,herrmanni,Echinodermata
Bivalvia,Unionida,Unionidae,Cyclonaias,tuberculata,Mollusca
Bivalvia,Unionida,Unionidae,Potamilus,amphichaenus,Mollusca
Gastropoda,Neogastropoda,Conidae,Conus,mercator,Mollusca
Gastropoda,Lepetellida,Haliotidae,Haliotis,roei,Mollusca
Bivalvia,Cardiida,Cardiidae,Tridacna,squamosa,Mollusca
Gastropoda,Stylommatophora,Zonitidae,Zonites,algirus,Mollusca
Bivalvia,Cardiida,Cardiidae,Tridacna,gigas,Mollusca
